LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS12;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;10 m above gnd;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount;Total cloud cover;High cloud cover;Medium cloud cover;Low cloud cover;Shortwave Radiation - backwards;Wind speed;Wind direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;cm;%;%;%;%;W/m2;m/s;°;m/s
AGGREGATION;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature;Relative humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount;Total cloud cover;High cloud cover;Medium cloud cover  ;Low cloud cover;Shortwave Radiation - backwards;Wind speed;Wind direction;Wind Gust
2013;11;02;07;00;13.38;72.00;1009.20;0.00;0.00;100.00;100.00;86.00;100.00;0.00;6.22;225.00;18.50
2013;11;02;08;00;13.48;71.00;1009.40;0.00;0.00;100.00;0.00;0.00;100.00;7.12;6.86;226.77;17.00
2013;11;02;09;00;14.42;70.00;1009.40;0.00;0.00;100.00;0.00;0.00;100.00;57.85;6.31;229.50;15.50
2013;11;02;10;00;15.75;68.00;1009.40;0.00;0.00;100.00;0.00;0.00;100.00;134.39;6.46;235.08;15.60
2013;11;02;11;00;16.86;65.00;1010.10;0.00;0.00;100.00;0.00;0.00;100.00;173.55;7.13;238.76;14.90
2013;11;02;12;00;17.94;63.00;1010.00;0.00;0.00;70.00;19.00;0.00;70.00;396.94;8.23;244.06;14.40
2013;11;02;13;00;18.17;62.00;1009.80;0.00;0.00;6.90;23.00;0.00;0.00;438.77;8.44;251.35;14.30
2013;11;02;14;00;18.24;61.00;1010.20;0.00;0.00;10.00;27.00;0.00;10.00;411.18;8.32;253.96;13.70
2013;11;02;15;00;18.23;61.00;1009.10;0.00;0.00;8.10;27.00;0.00;0.00;326.63;7.20;256.35;12.10
2013;11;02;16;00;17.91;63.00;1009.40;0.00;0.00;8.40;28.00;0.00;0.00;228.73;5.53;257.47;11.20
2013;11;02;17;00;17.12;65.00;1008.80;0.00;0.00;26.40;88.00;6.00;0.00;91.67;3.29;250.46;5.60
2013;11;02;18;00;16.14;69.00;1009.40;0.00;0.00;100.00;100.00;38.00;100.00;0.00;2.19;204.23;3.00
2013;11;02;19;00;13.84;81.00;1009.40;0.00;0.00;100.00;100.00;100.00;0.00;0.00;2.40;182.39;3.00
2013;11;02;20;00;13.48;80.00;1008.60;0.00;0.00;100.00;100.00;100.00;0.00;0.00;2.70;180.00;3.40
2013;11;02;21;00;14.00;74.00;1008.50;0.00;0.00;56.00;100.00;34.00;56.00;0.00;2.30;177.51;5.00
2013;11;02;22;00;14.45;72.00;1006.90;0.00;0.00;100.00;100.00;33.00;100.00;0.00;1.96;165.26;4.20
2013;11;02;23;00;14.35;74.00;1006.40;0.10;0.00;100.00;56.00;100.00;100.00;0.00;1.06;138.81;2.30
2013;11;03;00;00;12.37;95.00;1006.90;3.00;0.00;100.00;100.00;100.00;100.00;0.00;0.70;180.00;1.00
2013;11;03;01;00;12.40;96.00;1006.50;5.60;0.00;100.00;100.00;100.00;100.00;0.00;2.28;142.13;2.70
2013;11;03;02;00;14.28;81.00;1005.90;1.60;0.00;100.00;100.00;100.00;100.00;0.00;4.57;241.19;13.30
2013;11;03;03;00;13.67;84.00;1005.50;1.60;0.00;100.00;100.00;100.00;100.00;0.00;6.13;236.31;15.70
2013;11;03;04;00;13.54;80.00;1005.60;2.10;0.00;100.00;100.00;100.00;100.00;0.00;7.66;220.76;17.60
2013;11;03;05;00;13.20;88.00;1007.30;2.30;0.00;100.00;100.00;100.00;100.00;0.00;4.30;252.41;11.20
2013;11;03;06;00;12.35;84.00;1008.60;0.70;0.00;100.00;100.00;100.00;100.00;0.00;8.32;286.04;14.20
2013;11;03;07;00;11.08;81.00;1008.90;0.70;0.00;100.00;0.00;14.00;100.00;0.00;7.83;280.30;13.80
2013;11;03;08;00;10.16;78.00;1009.10;0.00;0.00;100.00;0.00;100.00;3.00;20.47;7.18;282.88;13.10
2013;11;03;09;00;9.80;82.00;1010.30;0.00;0.00;100.00;0.00;100.00;100.00;54.29;7.99;278.64;13.50
2013;11;03;10;00;10.02;82.00;1012.00;0.70;0.00;100.00;0.00;76.00;100.00;129.05;8.23;274.88;14.70
2013;11;03;11;00;8.39;78.00;1013.70;0.60;0.00;100.00;0.00;100.00;100.00;135.28;8.55;263.96;13.50
2013;11;03;12;00;10.06;69.00;1013.10;0.00;0.00;0.00;0.00;0.00;0.00;332.86;7.45;255.22;13.20
2013;11;03;13;00;10.72;66.00;1014.00;0.00;0.00;0.00;0.00;0.00;0.00;442.33;9.19;261.87;14.00
2013;11;03;14;00;10.61;65.00;1014.10;0.20;0.00;0.00;0.00;0.00;0.00;415.63;9.05;256.58;14.00
2013;11;03;15;00;10.38;65.00;1013.60;0.20;0.00;0.00;0.00;0.00;0.00;336.42;8.83;254.23;13.60
2013;11;03;16;00;10.14;64.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;219.83;8.17;255.11;13.10
2013;11;03;17;00;9.37;65.00;1014.90;0.00;0.00;0.00;0.00;0.00;0.00;80.10;6.94;254.96;13.10
2013;11;03;18;00;8.55;67.00;1014.90;0.00;0.00;5.40;18.00;0.00;0.00;0.00;6.14;250.97;14.30
2013;11;03;19;00;8.03;68.00;1015.00;0.00;0.00;29.00;20.00;29.00;0.00;0.00;5.68;243.89;14.80
2013;11;03;20;00;7.65;69.00;1014.10;0.00;0.00;25.00;14.00;25.00;0.00;0.00;4.85;237.62;12.30
2013;11;03;21;00;7.36;71.00;1013.90;0.00;0.00;31.00;59.00;31.00;0.00;0.00;3.61;223.88;9.50
2013;11;03;22;00;7.16;73.00;1013.10;0.00;0.00;77.00;56.00;77.00;0.00;0.00;2.62;197.74;3.60
2013;11;03;23;00;7.00;77.00;1011.90;0.00;0.00;100.00;60.00;100.00;0.00;0.00;2.35;192.26;3.30
2013;11;04;00;00;6.77;80.00;1010.50;0.00;0.00;33.00;100.00;33.00;0.00;0.00;2.40;180.00;3.30
2013;11;04;01;00;7.41;78.00;1009.10;0.00;0.00;100.00;100.00;100.00;0.00;0.00;2.50;180.00;3.30
